engine_id,cycle,timestamp_s,mission_phase,fault_type,rpm,throttle_pct,altitude_m,ambient_temp_c,ambient_pressure_kpa,manifold_pressure_kpa,fuel_flow_gph,egt_c,cht_c,oil_pressure_bar,oil_temp_c,vibration_g,engine_load_pct,efficiency_pct,health_score,anomaly_score,rul_cycles,health_state
ENG_001,0,0,descent,overheating,1831.79,35.77,6231.16,16.19,48.303,45.05,11.849,359.75,91.97,4.498,69.42,0.1731,42.9,77.71,99.78,0.05,656,healthy
ENG_001,1,5,cruise,overheating,2485.98,69.34,8366.16,12.17,37.715,60.61,31.283,454.79,124.33,3.773,84.08,0.2544,74.65,74.54,99.86,0.05,655,healthy
ENG_001,2,10,cruise,overheating,2415.24,57.05,9977.68,9.84,30.974,49.62,24.908,419.25,110.72,3.939,76.32,0.2694,63.54,75.65,98.25,0.05,654,healthy
ENG_001,3,15,cruise,overheating,2406.82,59.18,11690.89,10.88,24.015,46.71,25.657,425.67,113.47,3.95,79.62,0.2812,62.43,75.76,100.0,0.05,653,healthy
ENG_001,4,20,cruise,overheating,2399.18,54.35,9894.89,11.77,30.899,47.38,23.544,413.85,110.15,3.937,75.66,0.2491,58.83,76.12,98.56,0.05,652,healthy
ENG_001,5,25,cruise,overheating,2415.78,59.18,9803.76,8.71,31.243,51.38,25.533,423.67,111.41,3.778,74.77,,61.36,75.86,99.55,0.05,651,healthy
ENG_001,6,30,descent,overheating,1720.2,32.86,3669.97,14.57,66.048,47.46,10.228,348.57,86.54,4.452,65.47,0.2163,38.99,78.1,100.0,0.05,650,healthy
ENG_001,7,35,cruise,overheating,2495.12,71.61,9322.7,15.08,33.982,58.85,32.338,463.78,129.29,3.754,88.07,0.2279,70.2,74.98,100.0,0.05,649,healthy
ENG_001,8,40,takeoff,overheating,2877.09,81.18,546.11,31.05,95.237,81.88,41.783,511.49,157.97,3.358,110.07,0.3171,82.27,73.77,100.0,0.058,648,healthy
ENG_001,9,45,descent,overheating,1819.82,34.05,4924.7,21.6,56.468,48.13,11.093,360.48,95.78,4.403,74.24,0.1605,39.58,78.04,100.0,0.05,647,healthy
ENG_001,10,50,cruise,overheating,2419.01,67.59,8926.63,11.87,34.692,57.56,29.277,448.74,121.74,4.007,84.28,0.2679,70.91,74.91,100.0,0.05,646,healthy
ENG_001,11,55,cruise,overheating,2478.16,59.53,11764.36,2.03,24.016,45.86,26.763,419.03,105.77,3.791,71.97,0.2615,61.91,75.81,100.0,0.05,645,healthy
ENG_001,12,60,descent,overheating,1787.42,34.97,5126.82,16.88,53.601,46.83,11.15,357.57,91.45,4.43,70.61,0.1586,38.91,78.11,100.0,0.05,644,healthy
ENG_001,13,65,climb,overheating,2708.77,80.93,4106.79,20.79,62.034,75.45,39.433,497.57,145.48,3.605,98.67,0.2994,82.33,73.77,100.0,0.05,643,healthy
ENG_001,14,70,cruise,overheating,2383.8,56.88,7936.73,16.0,38.879,52.2,24.149,424.4,116.36,3.831,81.49,0.2527,61.47,75.85,97.89,0.05,642,healthy
ENG_001,15,75,cruise,overheating,2510.9,74.78,12306.44,1.64,23.155,55.77,34.003,458.85,118.73,3.769,78.93,0.2365,75.23,74.48,99.84,0.05,641,healthy
ENG_001,16,80,climb,overheating,2721.17,76.57,4778.6,18.74,57.475,71.27,37.512,484.41,139.88,3.521,96.33,0.2921,83.64,73.64,100.0,0.05,640,healthy
ENG_001,17,85,cruise,overheating,2425.39,57.42,9472.95,2.5,33.455,50.16,24.935,413.05,103.81,3.896,69.16,0.246,62.03,75.8,99.7,0.05,639,healthy
