timestamp,rpm,egt,cht,vibration,fuel_flow,throttle,altitude,temperature,pressure,engine_load,expected_egt,expected_cht,expected_vibration,fault_type,health_index,degradation_level,rul
2026-09-02T09:47:41.606032,5369.5,838.0,136.1,2.5,24.37,92.3,115.0,14.3,37.2,0.923,829.1,137.1,2.64,NONE,98.7,0.0,500.0
2026-09-02T09:47:42.606032,5419.2,831.5,142.1,2.74,24.15,91.2,130.0,14.2,37.1,0.912,829.0,136.9,2.68,NONE,98.9,0.0,500.0
2026-09-02T09:47:43.606032,5397.2,826.5,139.4,2.6,24.19,91.5,145.0,14.1,37.1,0.915,829.1,136.9,2.66,NONE,97.9,0.0,500.0
2026-09-02T09:47:44.606032,5432.3,826.4,134.0,2.76,23.67,90.4,160.0,14.0,37.0,0.904,828.9,136.7,2.69,NONE,97.0,0.0,500.0
2026-09-02T09:47:45.606032,5416.9,833.7,137.1,2.59,24.0,91.6,175.0,13.9,37.2,0.916,829.2,136.9,2.68,NONE,99.8,0.0,500.0
2026-09-02T09:47:46.606032,5406.4,829.5,136.8,2.69,23.77,90.0,190.0,13.8,37.0,0.9,828.9,136.4,2.67,NONE,97.9,0.0,500.0
2026-09-02T09:47:47.606032,5386.3,827.0,135.3,2.46,24.24,92.9,205.0,13.7,37.3,0.929,829.6,137.2,2.66,NONE,98.2,0.0,500.0
2026-09-02T09:47:48.606032,5418.3,831.4,137.2,2.77,24.27,92.8,220.0,13.6,37.3,0.928,829.7,137.2,2.68,NONE,99.7,0.0,500.0
2026-09-02T09:47:49.606032,5361.9,827.9,133.8,2.7,23.72,93.4,235.0,13.5,37.3,0.934,829.8,137.2,2.64,NONE,97.4,0.0,500.0
2026-09-02T09:47:50.606032,5423.8,833.3,135.9,2.73,24.13,93.2,250.0,13.4,37.3,0.932,829.9,137.3,2.69,NONE,98.2,0.0,500.0
2026-09-02T09:47:51.606032,5356.8,823.6,135.5,2.61,23.79,91.4,265.0,13.3,37.1,0.914,829.4,136.4,2.63,NONE,97.1,0.0,500.0
2026-09-02T09:47:52.606032,5443.7,829.3,137.9,2.91,24.15,90.4,280.0,13.2,37.0,0.904,829.4,136.5,2.7,NONE,98.6,0.0,500.0
2026-09-02T09:47:53.606032,5415.3,829.8,136.1,2.55,23.09,90.4,295.0,13.1,37.0,0.904,829.4,136.3,2.68,NONE,97.7,0.0,500.0
2026-09-02T09:47:54.606032,5373.9,829.1,139.9,2.53,23.92,93.2,310.0,13.0,37.3,0.932,830.0,137.0,2.65,NONE,99.2,0.0,500.0
2026-09-02T09:47:55.606032,5417.9,832.9,135.3,2.75,23.7,91.2,325.0,12.9,37.1,0.912,829.7,136.5,2.68,NONE,97.8,0.0,500.0
2026-09-02T09:47:56.606032,5384.2,826.5,137.7,2.57,23.02,90.5,340.0,12.8,37.0,0.905,829.5,136.1,2.65,NONE,98.1,0.0,500.0
2026-09-02T09:47:57.606032,5405.0,833.6,138.7,2.61,24.28,92.7,355.0,12.7,37.3,0.927,830.1,136.9,2.67,NONE,97.6,0.0,500.0
2026-09-02T09:47:58.606032,5395.5,829.6,137.1,2.96,23.91,91.7,370.0,12.6,37.2,0.917,829.9,136.5,2.66,NONE,99.9,0.0,500.0
2026-09-02T09:47:59.606032,5376.9,827.8,131.9,2.67,23.43,92.7,385.0,12.5,37.3,0.927,830.2,136.7,2.65,NONE,97.8,0.0,500.0
2026-09-02T09:48:00.606032,5391.2,826.5,136.5,2.62,23.12,90.2,400.0,12.4,37.0,0.902,829.6,135.9,2.66,NONE,97.5,0.0,500.0
2026-09-02T09:48:01.606032,5419.2,829.1,138.8,2.58,22.48,90.2,415.0,12.3,37.0,0.902,829.7,136.0,2.68,NONE,98.6,0.0,500.0
2026-09-02T09:48:02.606032,5364.7,829.5,134.6,2.63,23.91,92.9,430.0,12.2,37.3,0.929,830.3,136.6,2.64,NONE,97.9,0.0,500.0
2026-09-02T09:48:03.606032,5373.2,830.6,136.9,2.63,22.74,90.4,445.0,12.1,37.0,0.904,829.8,135.8,2.65,NONE,97.7,0.0,500.0
2026-09-02T09:48:04.606032,5353.8,832.0,138.4,2.58,22.72,91.8,460.0,12.0,37.2,0.918,830.2,136.2,2.63,NONE,99.9,0.0,500.0
2026-09-02T09:48:05.606032,5443.5,825.9,140.7,2.81,23.38,92.4,475.0,11.9,37.2,0.924,830.5,136.7,2.7,NONE,99.6,0.0,500.0
2026-09-02T09:48:06.606032,5354.1,825.1,133.7,2.77,23.01,90.4,490.0,11.8,37.0,0.904,829.9,135.7,2.63,NONE,98.3,0.0,500.0
2026-09-02T09:48:07.606032,5356.0,828.8,138.1,2.71,23.0,90.5,505.0,11.7,37.1,0.905,830.0,135.7,2.63,NONE,97.7,0.0,500.0
2026-09-02T09:48:08.606032,5405.8,834.9,139.4,2.82,23.04,91.6,520.0,11.6,37.2,0.916,830.4,136.2,2.67,NONE,98.4,0.0,500.0
2026-09-02T09:48:09.606032,5380.5,833.6,134.3,2.67,23.07,90.1,535.0,11.5,37.0,0.901,830.0,135.6,2.65,NONE,98.1,0.0,500.0
2026-09-02T09:48:10.606032,5438.4,831.4,133.6,2.76,24.19,93.7,550.0,11.4,37.4,0.937,831.0,137.0,2.7,NONE,99.5,0.0,500.0
2026-09-02T09:48:11.606032,5439.2,834.0,137.7,2.62,22.57,90.1,565.0,11.3,37.0,0.901,830.3,135.8,2.7,NONE,98.8,0.0,500.0
2026-09-02T09:48:12.606032,5443.8,822.8,133.0,2.72,23.46,93.2,580.0,11.2,37.3,0.932,831.1,136.8,2.7,NONE,97.0,0.0,500.0
2026-09-02T09:48:13.606032,5387.1,831.6,135.8,2.69,23.28,92.6,595.0,11.1,37.3,0.926,830.9,136.3,2.66,NONE,98.1,0.0,500.0
2026-09-02T09:48:14.606032,5448.6,835.1,132.1,2.77,23.35,90.5,610.0,11.0,37.1,0.905,830.5,135.9,2.71,NONE,99.4,0.0,500.0
2026-09-02T09:48:15.606032,5447.1,829.9,133.0,2.69,23.31,91.1,625.0,10.9,37.1,0.911,830.7,136.0,2.71,NONE,97.6,0.0,500.0
2026-09-02T09:48:16.606032,5442.0,824.1,138.1,2.82,23.27,92.0,640.0,10.8,37.2,0.92,831.0,136.3,2.7,NONE,98.1,0.0,500.0
2026-09-02T09:48:17.606032,5378.6,827.2,134.2,2.81,23.74,92.8,655.0,10.7,37.3,0.928,831.1,136.2,2.65,NONE,99.8,0.0,500.0
2026-09-02T09:48:18.606032,5356.4,836.3,137.7,2.73,23.15,91.8,670.0,10.6,37.2,0.918,830.9,135.8,2.63,NONE,99.5,0.0,500.0
2026-09-02T09:48:19.606032,5433.0,832.2,137.2,2.73,22.73,93.3,685.0,10.5,37.3,0.933,831.4,136.5,2.69,NONE,98.4,0.0,500.0
2026-09-02T09:48:20.606032,5445.8,830.8,132.8,2.73,23.0,92.0,700.0,10.4,37.2,0.92,831.2,136.1,2.7,NONE,99.3,0.0,500.0
2026-09-02T09:48:21.606032,5375.5,829.6,132.8,2.57,22.42,90.1,715.0,10.4,37.0,0.901,830.7,135.2,2.65,NONE,99.5,0.0,500.0
2026-09-02T09:48:22.606032,5405.2,831.5,135.7,2.75,23.61,93.9,730.0,10.3,37.4,0.939,831.7,136.5,2.67,NONE,98.7,0.0,500.0
2026-09-02T09:48:23.606032,5400.0,830.2,136.4,2.73,22.85,90.6,745.0,10.2,37.1,0.906,830.9,135.4,2.67,NONE,98.1,0.0,500.0
2026-09-02T09:48:24.606032,5357.5,831.6,139.0,2.72,23.04,93.2,760.0,10.1,37.3,0.932,831.6,136.0,2.63,NONE,97.7,0.0,500.0
2026-09-02T09:48:25.606032,5365.9,830.1,131.8,2.64,23.68,93.5,775.0,10.0,37.4,0.935,831.7,136.1,2.64,NONE,99.0,0.0,500.0
2026-09-02T09:48:26.606032,5385.0,836.2,133.8,2.61,23.19,92.3,790.0,9.9,37.2,0.923,831.5,135.8,2.66,NONE,99.3,0.0,500.0
2026-09-02T09:48:27.606032,5447.5,836.9,140.2,2.71,23.14,93.8,805.0,9.8,37.4,0.938,832.0,136.5,2.71,NONE,98.3,0.0,500.0
2026-09-02T09:48:28.606032,5437.4,832.0,138.6,2.76,23.0,93.5,820.0,9.7,37.4,0.935,832.0,136.3,2.7,NONE,99.5,0.0,500.0
2026-09-02T09:48:29.606032,5437.3,832.2,135.9,2.72,23.03,92.7,835.0,9.6,37.3,0.927,831.8,136.1,2.7,NONE,98.6,0.0,500.0
2026-09-02T09:48:30.606032,5411.5,827.5,134.2,2.74,23.63,93.7,850.0,9.5,37.4,0.937,832.1,136.2,2.68,NONE,97.1,0.0,500.0
2026-09-02T09:48:31.606032,5367.2,835.5,136.4,2.63,22.61,93.1,865.0,9.4,37.3,0.931,831.9,135.8,2.64,NONE,98.6,0.0,500.0
2026-09-02T09:48:32.606032,5398.4,836.3,138.8,2.72,23.06,92.8,880.0,9.3,37.3,0.928,832.0,135.8,2.67,NONE,97.2,0.0,500.0
2026-09-02T09:48:33.606032,5437.9,829.8,137.3,2.56,22.59,90.9,895.0,9.2,37.1,0.909,831.6,135.4,2.7,NONE,97.1,0.0,500.0
2026-09-02T09:48:34.606032,5430.1,828.4,137.5,2.72,22.55,92.0,910.0,9.1,37.2,0.92,831.9,135.7,2.69,NONE,98.0,0.0,500.0
2026-09-02T09:48:35.606032,5377.5,833.3,138.9,2.73,23.04,91.2,925.0,9.0,37.1,0.912,831.7,135.1,2.65,NONE,98.5,0.0,500.0
2026-09-02T09:48:36.606032,5408.1,834.0,135.2,2.66,22.64,93.1,940.0,8.9,37.3,0.931,832.2,135.9,2.67,NONE,97.7,0.0,500.0
2026-09-02T09:48:37.606032,5378.3,825.8,133.7,2.55,22.44,91.3,955.0,8.8,37.1,0.913,831.8,135.1,2.65,NONE,98.3,0.0,500.0
2026-09-02T09:48:38.606032,5352.4,827.4,138.5,2.64,23.01,94.0,970.0,8.7,37.4,0.94,832.5,135.8,2.63,NONE,99.5,0.0,500.0
2026-09-02T09:48:39.606032,5358.1,830.2,135.4,2.7,22.64,93.5,985.0,8.6,37.4,0.935,832.4,135.7,2.63,NONE,99.9,0.0,500.0
2026-09-02T09:48:40.606032,5106.4,832.0,132.6,2.59,20.77,84.4,1000.0,8.5,36.4,0.844,828.8,131.7,2.44,NONE,97.4,0.0,500.0
2026-09-02T09:48:41.606032,5093.2,826.1,130.9,2.27,20.27,84.5,1025.0,8.3,36.5,0.845,828.9,131.6,2.43,NONE,100.0,0.0,500.0
2026-09-02T09:48:42.606032,5099.1,832.3,132.8,2.49,20.51,83.6,1050.0,8.2,36.4,0.836,828.6,131.3,2.43,NONE,97.8,0.0,500.0
2026-09-02T09:48:43.606032,5136.8,821.7,133.2,2.52,20.45,85.9,1075.0,8.0,36.6,0.859,829.8,132.1,2.46,NONE,98.1,0.0,500.0
2026-09-02T09:48:44.606032,5120.1,826.9,128.8,2.43,19.98,84.0,1100.0,7.8,36.4,0.84,829.1,131.4,2.45,NONE,99.0,0.0,500.0
2026-09-02T09:48:45.606032,5137.3,829.1,130.8,2.52,20.25,84.1,1125.0,7.7,36.4,0.841,829.3,131.5,2.46,NONE,97.7,0.0,500.0
2026-09-02T09:48:46.606032,5130.7,831.0,133.4,2.55,20.73,86.3,1150.0,7.5,36.6,0.863,830.3,132.1,2.46,NONE,97.7,0.0,500.0
2026-09-02T09:48:47.606032,5109.0,832.7,128.0,2.45,20.08,86.0,1175.0,7.4,36.6,0.86,830.2,131.8,2.44,NONE,98.4,0.0,500.0
2026-09-02T09:48:48.606032,5113.5,833.4,129.1,2.44,20.59,84.9,1200.0,7.2,36.5,0.849,829.8,131.5,2.44,NONE,99.4,0.0,500.0
2026-09-02T09:48:49.606032,5096.1,835.1,129.9,2.64,20.16,83.8,1225.0,7.0,36.4,0.838,829.3,131.0,2.43,NONE,98.5,0.0,500.0
2026-09-02T09:48:50.606032,5084.8,826.9,132.8,2.52,20.11,83.5,1250.0,6.9,36.4,0.835,829.2,130.8,2.42,NONE,99.9,0.0,500.0
2026-09-02T09:48:51.606032,5104.6,835.8,133.7,2.57,19.64,85.0,1275.0,6.7,36.5,0.85,830.1,131.3,2.44,NONE,98.6,0.0,500.0
2026-09-02T09:48:52.606032,5064.1,831.5,127.0,2.53,19.7,84.4,1300.0,6.5,36.4,0.844,829.8,130.9,2.41,NONE,98.8,0.0,500.0
2026-09-02T09:48:53.606032,5065.5,837.2,127.0,2.38,19.32,83.9,1325.0,6.4,36.4,0.839,829.6,130.7,2.41,NONE,98.6,0.0,500.0
2026-09-02T09:48:54.606032,5064.3,830.4,130.1,2.38,19.35,84.4,1350.0,6.2,36.4,0.844,829.9,130.8,2.41,NONE,99.3,0.0,500.0
2026-09-02T09:48:55.606032,5124.6,830.8,129.2,2.5,20.03,84.3,1375.0,6.1,36.4,0.843,830.2,131.0,2.45,NONE,99.8,0.0,500.0
2026-09-02T09:48:56.606032,5085.7,834.4,133.6,2.27,20.3,86.3,1400.0,5.9,36.6,0.863,831.0,131.4,2.42,NONE,98.2,0.0,500.0
2026-09-02T09:48:57.606032,5075.7,831.4,130.0,2.28,20.0,85.9,1425.0,5.7,36.6,0.859,830.9,131.2,2.41,NONE,97.4,0.0,500.0
2026-09-02T09:48:58.606032,5082.4,829.9,132.9,2.36,19.83,84.9,1450.0,5.6,36.5,0.849,830.6,130.8,2.42,NONE,97.5,0.0,500.0
2026-09-02T09:48:59.606032,5074.4,831.7,133.2,2.28,19.67,86.3,1475.0,5.4,36.6,0.863,831.2,131.2,2.41,NONE,97.0,0.0,500.0
2026-09-02T09:49:00.606032,5136.9,832.6,130.1,2.46,19.91,86.5,1500.0,5.2,36.6,0.865,831.6,131.5,2.46,NONE,97.1,0.0,500.0
2026-09-02T09:49:01.606032,5093.9,830.7,129.7,2.49,19.76,86.3,1525.0,5.1,36.6,0.863,831.5,131.2,2.43,NONE,98.4,0.0,500.0
2026-09-02T09:49:02.606032,5103.0,833.3,128.1,2.49,18.98,85.5,1550.0,4.9,36.5,0.855,831.2,130.9,2.44,NONE,98.5,0.0,500.0
